OBJECTID,neighborhood,neighborhood_no,area,Year,Indicator Name,Value,elementary,middle,high,main elementary,main middle,main high,number of elementary schools,number of middle schools,number of high schools
23,Bitter Lake Village,114,363.7795662,2010,10_year_growth_kids,201.0,"Broadview-Thomson, Northgate",Robert Eagle Staff,Ingraham Int'l,Broadview-Thomson,Robert Eagle Staff,Ingraham Int'l,2,1,1
24,Mt Baker,305,491.0180584,2010,10_year_growth_kids,30.0,"T. Marshall, John Muir, Beacon Hill Intl, Kimball, Leschi","Aki Kurose, Washington, Meany",Franklin,T. Marshall,Aki Kurose,Franklin,5,3,1
25,Admiral,113,98.24835065,2010,10_year_growth_kids,39.0,"Lafayette, Genesee Hill",Madison,West Seattle,Lafayette,Madison,West Seattle,2,1,1
26,Aurora-Licton Springs,101,326.9585992,2010,10_year_growth_kids,63.0,"Viewlands, Daniel Bagley",Robert Eagle Staff,Ingraham,Viewlands,Robert Eagle Staff,Ingraham,2,1,1
27,Morgan Junction,206,113.3093773,2010,10_year_growth_kids,25.0,Gatewood,Denny Int'l,West Seattle,Gatewood,Denny Int'l,West Seattle,1,1,1
28,Eastlake,107,199.2559558,2010,10_year_growth_kids,86.0,"Montlake, Lowell",Meany,Garfield,Montlake,Meany,Garfield,2,1,1
29,Wallingford,203,258.0056129,2010,10_year_growth_kids,224.0,"B. F. Day, Green Lake",Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,2,1,1
30,Ballard,303,495.4763052,2010,10_year_growth_kids,72.0,"Adams, West Woodland",Whitman,Ballard,Adams,Whitman,Ballard,2,1,1
31,South Park,128,263.7986201,2010,10_year_growth_kids,0.0,Concord Intl,Denny Int'l,Chief Sealth Int'l,Concord Intl,Denny Int'l,Chief Sealth Int'l,1,1,1
32,Othello,123,498.9632413,2010,10_year_growth_kids,671.0,"Dearborn Park, Van Asselt, Martin Luther King Jr., Wing Luke, Dunlap, Hawthorne","Aki Kurose, Mercer Int'l","Franklin, Rainier Beach",Dearborn Park,Aki Kurose,Franklin,6,2,2
1,Upper Queen Anne,106,52.65872029,2020,10_year_growth_kids,65.0,"John Hay, Coe",McClure,Lincoln,John Hay,McClure,Lincoln,2,1,1
2,Fremont,302,214.511083,2020,10_year_growth_kids,124.0,B. F. Day,Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,1,1,1
3,West Seattle Junction,205,270.4170255,2020,10_year_growth_kids,239.0,"Genesee Hill, Fairmount Park, Pathfinder",Madison,West Seattle,Genesee Hill,Madison,West Seattle,3,1,1
4,Columbia City,111,334.5433404,2020,10_year_growth_kids,510.0,Hawthorne,Mercer,Franklin,Hawthorne,Mercer,Franklin,1,1,1
5,First Hill/Capitol Hill,414,916.2218015,2020,10_year_growth_kids,108.0,"Lowell, Madison-Miller",Meany,Garfield,Lowell,Meany,Garfield,2,1,1
6,Roosevelt,202,170.2117761,2020,10_year_growth_kids,132.0,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
7,South Lake Union,312,339.886927,2020,10_year_growth_kids,391.0,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
8,University District,401,751.9638778,2020,10_year_growth_kids,484.0,"Green Lake, Laurelhurst","Eckstein, Hamilton Int'l",Roosevelt,Green Lake,Eckstein,Roosevelt,2,2,1
9,Crown Hill,103,270.9887543,2020,10_year_growth_kids,180.0,"Whittier, North Beach",Whitman,Ingraham,Whittier,Whitman,Ingraham,2,1,1
10,Westwood-Highland Park,127,275.0621961,2020,10_year_growth_kids,-146.0,"Roxhill, Highland Park",Denny Int'l,Chief Sealth Int'l,Roxhill,Denny Int'l,Chief Sealth Int'l,2,1,1
11,Lake City,201,142.2670425,2020,10_year_growth_kids,115.0,"Olympic Hills, John Rogers, Sacajawea",Jane Addams,Nathan Hale,Olympic Hills,Jane Addams,Nathan Hale,3,1,1
13,Madison-Miller,131,145.3234203,2020,10_year_growth_kids,32.0,"Stevens, Madrona",Meany,Garfield,Stevens,Meany,Garfield,2,1,1
14,Green Lake,207,107.4446385,2020,10_year_growth_kids,102.0,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
15,Northgate,301,412.2911233,2020,10_year_growth_kids,36.0,"Olympic View, Northgate, Viewlands","Jane Addams, Whitman","Ingraham, Nathan Hale",Olympic View,Jane Addams,Ingraham,3,2,2
16,North Beacon Hill,110,266.8762908,2020,10_year_growth_kids,54.0,"Beacon Hill Intl, Kimball",Mercer Int'l,Franklin,Beacon Hill Intl,Mercer Int'l,Franklin,2,1,1
18,Greenwood-Phinney Ridge,102,94.15764497,2020,10_year_growth_kids,36.0,Greenwood,Robert Eagle Staff,"Ballard, Ingraham, Lincoln",Greenwood,Robert Eagle Staff,Ballard,1,1,3
19,Downtown,413,953.2817465,2020,10_year_growth_kids,874.0,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
20,Uptown,412,333.000698,2020,10_year_growth_kids,374.0,John Hay,McClure,Lincoln,John Hay,McClure,Lincoln,1,1,1
21,Rainier Beach,204,346.1438736,2020,10_year_growth_kids,193.0,"Dunlap, Emerson, Wing Luke, Van Asselt",Aki Kurose,Rainier Beach,Dunlap,Aki Kurose,Rainier Beach,4,1,1
22,23rd & Union-Jackson,109,625.2664128,2020,10_year_growth_kids,89.0,"Bailey Gatzert, Leschi, T. Marshall",Washington,Garfield,Bailey Gatzert,Washington,Garfield,3,1,1
23,Bitter Lake Village,114,363.7795662,2020,10_year_growth_kids,332.0,"Broadview-Thomson, Northgate",Robert Eagle Staff,Ingraham Int'l,Broadview-Thomson,Robert Eagle Staff,Ingraham Int'l,2,1,1
24,Mt Baker,305,491.0180584,2020,10_year_growth_kids,26.0,"T. Marshall, John Muir, Beacon Hill Intl, Kimball, Leschi","Aki Kurose, Washington, Meany",Franklin,T. Marshall,Aki Kurose,Franklin,5,3,1
25,Admiral,113,98.24835065,2020,10_year_growth_kids,17.0,"Lafayette, Genesee Hill",Madison,West Seattle,Lafayette,Madison,West Seattle,2,1,1
26,Aurora-Licton Springs,101,326.9585992,2020,10_year_growth_kids,29.0,"Viewlands, Daniel Bagley",Robert Eagle Staff,Ingraham,Viewlands,Robert Eagle Staff,Ingraham,2,1,1
27,Morgan Junction,206,113.3093773,2020,10_year_growth_kids,26.0,Gatewood,Denny Int'l,West Seattle,Gatewood,Denny Int'l,West Seattle,1,1,1
28,Eastlake,107,199.2559558,2020,10_year_growth_kids,138.0,"Montlake, Lowell",Meany,Garfield,Montlake,Meany,Garfield,2,1,1
29,Wallingford,203,258.0056129,2020,10_year_growth_kids,138.0,"B. F. Day, Green Lake",Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,2,1,1
30,Ballard,303,495.4763052,2020,10_year_growth_kids,379.0,"Adams, West Woodland",Whitman,Ballard,Adams,Whitman,Ballard,2,1,1
31,South Park,128,263.7986201,2020,10_year_growth_kids,-170.0,Concord Intl,Denny Int'l,Chief Sealth Int'l,Concord Intl,Denny Int'l,Chief Sealth Int'l,1,1,1
32,Othello,123,498.9632413,2020,10_year_growth_kids,58.0,"Dearborn Park, Van Asselt, Martin Luther King Jr., Wing Luke, Dunlap, Hawthorne","Aki Kurose, Mercer Int'l","Franklin, Rainier Beach",Dearborn Park,Aki Kurose,Franklin,6,2,2
1,Upper Queen Anne,106,52.65872029,1990,10_year_frac_growth_kids,,"John Hay, Coe",McClure,Lincoln,John Hay,McClure,Lincoln,2,1,1
2,Fremont,302,214.511083,1990,10_year_frac_growth_kids,,B. F. Day,Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,1,1,1
3,West Seattle Junction,205,270.4170255,1990,10_year_frac_growth_kids,,"Genesee Hill, Fairmount Park, Pathfinder",Madison,West Seattle,Genesee Hill,Madison,West Seattle,3,1,1
4,Columbia City,111,334.5433404,1990,10_year_frac_growth_kids,,Hawthorne,Mercer,Franklin,Hawthorne,Mercer,Franklin,1,1,1
5,First Hill/Capitol Hill,414,916.2218015,1990,10_year_frac_growth_kids,,"Lowell, Madison-Miller",Meany,Garfield,Lowell,Meany,Garfield,2,1,1
6,Roosevelt,202,170.2117761,1990,10_year_frac_growth_kids,,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
7,South Lake Union,312,339.886927,1990,10_year_frac_growth_kids,,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
8,University District,401,751.9638778,1990,10_year_frac_growth_kids,,"Green Lake, Laurelhurst","Eckstein, Hamilton Int'l",Roosevelt,Green Lake,Eckstein,Roosevelt,2,2,1
9,Crown Hill,103,270.9887543,1990,10_year_frac_growth_kids,,"Whittier, North Beach",Whitman,Ingraham,Whittier,Whitman,Ingraham,2,1,1
10,Westwood-Highland Park,127,275.0621961,1990,10_year_frac_growth_kids,,"Roxhill, Highland Park",Denny Int'l,Chief Sealth Int'l,Roxhill,Denny Int'l,Chief Sealth Int'l,2,1,1
11,Lake City,201,142.2670425,1990,10_year_frac_growth_kids,,"Olympic Hills, John Rogers, Sacajawea",Jane Addams,Nathan Hale,Olympic Hills,Jane Addams,Nathan Hale,3,1,1
13,Madison-Miller,131,145.3234203,1990,10_year_frac_growth_kids,,"Stevens, Madrona",Meany,Garfield,Stevens,Meany,Garfield,2,1,1
14,Green Lake,207,107.4446385,1990,10_year_frac_growth_kids,,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
15,Northgate,301,412.2911233,1990,10_year_frac_growth_kids,,"Olympic View, Northgate, Viewlands","Jane Addams, Whitman","Ingraham, Nathan Hale",Olympic View,Jane Addams,Ingraham,3,2,2
16,North Beacon Hill,110,266.8762908,1990,10_year_frac_growth_kids,,"Beacon Hill Intl, Kimball",Mercer Int'l,Franklin,Beacon Hill Intl,Mercer Int'l,Franklin,2,1,1
18,Greenwood-Phinney Ridge,102,94.15764497,1990,10_year_frac_growth_kids,,Greenwood,Robert Eagle Staff,"Ballard, Ingraham, Lincoln",Greenwood,Robert Eagle Staff,Ballard,1,1,3
19,Downtown,413,953.2817465,1990,10_year_frac_growth_kids,,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
20,Uptown,412,333.000698,1990,10_year_frac_growth_kids,,John Hay,McClure,Lincoln,John Hay,McClure,Lincoln,1,1,1
21,Rainier Beach,204,346.1438736,1990,10_year_frac_growth_kids,,"Dunlap, Emerson, Wing Luke, Van Asselt",Aki Kurose,Rainier Beach,Dunlap,Aki Kurose,Rainier Beach,4,1,1
22,23rd & Union-Jackson,109,625.2664128,1990,10_year_frac_growth_kids,,"Bailey Gatzert, Leschi, T. Marshall",Washington,Garfield,Bailey Gatzert,Washington,Garfield,3,1,1
23,Bitter Lake Village,114,363.7795662,1990,10_year_frac_growth_kids,,"Broadview-Thomson, Northgate",Robert Eagle Staff,Ingraham Int'l,Broadview-Thomson,Robert Eagle Staff,Ingraham Int'l,2,1,1
24,Mt Baker,305,491.0180584,1990,10_year_frac_growth_kids,,"T. Marshall, John Muir, Beacon Hill Intl, Kimball, Leschi","Aki Kurose, Washington, Meany",Franklin,T. Marshall,Aki Kurose,Franklin,5,3,1
25,Admiral,113,98.24835065,1990,10_year_frac_growth_kids,,"Lafayette, Genesee Hill",Madison,West Seattle,Lafayette,Madison,West Seattle,2,1,1
26,Aurora-Licton Springs,101,326.9585992,1990,10_year_frac_growth_kids,,"Viewlands, Daniel Bagley",Robert Eagle Staff,Ingraham,Viewlands,Robert Eagle Staff,Ingraham,2,1,1
27,Morgan Junction,206,113.3093773,1990,10_year_frac_growth_kids,,Gatewood,Denny Int'l,West Seattle,Gatewood,Denny Int'l,West Seattle,1,1,1
28,Eastlake,107,199.2559558,1990,10_year_frac_growth_kids,,"Montlake, Lowell",Meany,Garfield,Montlake,Meany,Garfield,2,1,1
29,Wallingford,203,258.0056129,1990,10_year_frac_growth_kids,,"B. F. Day, Green Lake",Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,2,1,1
30,Ballard,303,495.4763052,1990,10_year_frac_growth_kids,,"Adams, West Woodland",Whitman,Ballard,Adams,Whitman,Ballard,2,1,1
31,South Park,128,263.7986201,1990,10_year_frac_growth_kids,,Concord Intl,Denny Int'l,Chief Sealth Int'l,Concord Intl,Denny Int'l,Chief Sealth Int'l,1,1,1
32,Othello,123,498.9632413,1990,10_year_frac_growth_kids,,"Dearborn Park, Van Asselt, Martin Luther King Jr., Wing Luke, Dunlap, Hawthorne","Aki Kurose, Mercer Int'l","Franklin, Rainier Beach",Dearborn Park,Aki Kurose,Franklin,6,2,2
1,Upper Queen Anne,106,52.65872029,2000,10_year_frac_growth_kids,0.008,"John Hay, Coe",McClure,Lincoln,John Hay,McClure,Lincoln,2,1,1
2,Fremont,302,214.511083,2000,10_year_frac_growth_kids,-0.35714285714285715,B. F. Day,Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,1,1,1
3,West Seattle Junction,205,270.4170255,2000,10_year_frac_growth_kids,0.05084745762711865,"Genesee Hill, Fairmount Park, Pathfinder",Madison,West Seattle,Genesee Hill,Madison,West Seattle,3,1,1
4,Columbia City,111,334.5433404,2000,10_year_frac_growth_kids,0.06591760299625468,Hawthorne,Mercer,Franklin,Hawthorne,Mercer,Franklin,1,1,1
5,First Hill/Capitol Hill,414,916.2218015,2000,10_year_frac_growth_kids,0.08791208791208792,"Lowell, Madison-Miller",Meany,Garfield,Lowell,Meany,Garfield,2,1,1
6,Roosevelt,202,170.2117761,2000,10_year_frac_growth_kids,-0.04745762711864407,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
7,South Lake Union,312,339.886927,2000,10_year_frac_growth_kids,0.525,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
8,University District,401,751.9638778,2000,10_year_frac_growth_kids,-0.05574324324324324,"Green Lake, Laurelhurst","Eckstein, Hamilton Int'l",Roosevelt,Green Lake,Eckstein,Roosevelt,2,2,1
9,Crown Hill,103,270.9887543,2000,10_year_frac_growth_kids,0.11226252158894647,"Whittier, North Beach",Whitman,Ingraham,Whittier,Whitman,Ingraham,2,1,1
10,Westwood-Highland Park,127,275.0621961,2000,10_year_frac_growth_kids,0.12474226804123711,"Roxhill, Highland Park",Denny Int'l,Chief Sealth Int'l,Roxhill,Denny Int'l,Chief Sealth Int'l,2,1,1
11,Lake City,201,142.2670425,2000,10_year_frac_growth_kids,0.5573122529644269,"Olympic Hills, John Rogers, Sacajawea",Jane Addams,Nathan Hale,Olympic Hills,Jane Addams,Nathan Hale,3,1,1
13,Madison-Miller,131,145.3234203,2000,10_year_frac_growth_kids,-0.30416666666666664,"Stevens, Madrona",Meany,Garfield,Stevens,Meany,Garfield,2,1,1
14,Green Lake,207,107.4446385,2000,10_year_frac_growth_kids,-0.08737864077669903,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
15,Northgate,301,412.2911233,2000,10_year_frac_growth_kids,0.5603644646924829,"Olympic View, Northgate, Viewlands","Jane Addams, Whitman","Ingraham, Nathan Hale",Olympic View,Jane Addams,Ingraham,3,2,2
16,North Beacon Hill,110,266.8762908,2000,10_year_frac_growth_kids,-0.008991008991008992,"Beacon Hill Intl, Kimball",Mercer Int'l,Franklin,Beacon Hill Intl,Mercer Int'l,Franklin,2,1,1
18,Greenwood-Phinney Ridge,102,94.15764497,2000,10_year_frac_growth_kids,0.36538461538461536,Greenwood,Robert Eagle Staff,"Ballard, Ingraham, Lincoln",Greenwood,Robert Eagle Staff,Ballard,1,1,3
19,Downtown,413,953.2817465,2000,10_year_frac_growth_kids,1.7355072463768115,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
20,Uptown,412,333.000698,2000,10_year_frac_growth_kids,-0.14534883720930233,John Hay,McClure,Lincoln,John Hay,McClure,Lincoln,1,1,1
21,Rainier Beach,204,346.1438736,2000,10_year_frac_growth_kids,0.029335634167385678,"Dunlap, Emerson, Wing Luke, Van Asselt",Aki Kurose,Rainier Beach,Dunlap,Aki Kurose,Rainier Beach,4,1,1
22,23rd & Union-Jackson,109,625.2664128,2000,10_year_frac_growth_kids,0.032907662082514735,"Bailey Gatzert, Leschi, T. Marshall",Washington,Garfield,Bailey Gatzert,Washington,Garfield,3,1,1
23,Bitter Lake Village,114,363.7795662,2000,10_year_frac_growth_kids,0.044854881266490766,"Broadview-Thomson, Northgate",Robert Eagle Staff,Ingraham Int'l,Broadview-Thomson,Robert Eagle Staff,Ingraham Int'l,2,1,1
24,Mt Baker,305,491.0180584,2000,10_year_frac_growth_kids,0.09129967776584318,"T. Marshall, John Muir, Beacon Hill Intl, Kimball, Leschi","Aki Kurose, Washington, Meany",Franklin,T. Marshall,Aki Kurose,Franklin,5,3,1
25,Admiral,113,98.24835065,2000,10_year_frac_growth_kids,0.09655172413793103,"Lafayette, Genesee Hill",Madison,West Seattle,Lafayette,Madison,West Seattle,2,1,1
26,Aurora-Licton Springs,101,326.9585992,2000,10_year_frac_growth_kids,-0.012080536912751677,"Viewlands, Daniel Bagley",Robert Eagle Staff,Ingraham,Viewlands,Robert Eagle Staff,Ingraham,2,1,1
27,Morgan Junction,206,113.3093773,2000,10_year_frac_growth_kids,0.27225130890052357,Gatewood,Denny Int'l,West Seattle,Gatewood,Denny Int'l,West Seattle,1,1,1
28,Eastlake,107,199.2559558,2000,10_year_frac_growth_kids,-0.18309859154929578,"Montlake, Lowell",Meany,Garfield,Montlake,Meany,Garfield,2,1,1
29,Wallingford,203,258.0056129,2000,10_year_frac_growth_kids,0.06473214285714286,"B. F. Day, Green Lake",Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,2,1,1
30,Ballard,303,495.4763052,2000,10_year_frac_growth_kids,-0.06203995793901157,"Adams, West Woodland",Whitman,Ballard,Adams,Whitman,Ballard,2,1,1
31,South Park,128,263.7986201,2000,10_year_frac_growth_kids,0.3401253918495298,Concord Intl,Denny Int'l,Chief Sealth Int'l,Concord Intl,Denny Int'l,Chief Sealth Int'l,1,1,1
32,Othello,123,498.9632413,2000,10_year_frac_growth_kids,-0.10692899914456801,"Dearborn Park, Van Asselt, Martin Luther King Jr., Wing Luke, Dunlap, Hawthorne","Aki Kurose, Mercer Int'l","Franklin, Rainier Beach",Dearborn Park,Aki Kurose,Franklin,6,2,2
1,Upper Queen Anne,106,52.65872029,2010,10_year_frac_growth_kids,0.07936507936507936,"John Hay, Coe",McClure,Lincoln,John Hay,McClure,Lincoln,2,1,1
2,Fremont,302,214.511083,2010,10_year_frac_growth_kids,0.2573099415204678,B. F. Day,Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,1,1,1
3,West Seattle Junction,205,270.4170255,2010,10_year_frac_growth_kids,0.009216589861751152,"Genesee Hill, Fairmount Park, Pathfinder",Madison,West Seattle,Genesee Hill,Madison,West Seattle,3,1,1
4,Columbia City,111,334.5433404,2010,10_year_frac_growth_kids,-0.31974701335207306,Hawthorne,Mercer,Franklin,Hawthorne,Mercer,Franklin,1,1,1
5,First Hill/Capitol Hill,414,916.2218015,2010,10_year_frac_growth_kids,-0.050505050505050504,"Lowell, Madison-Miller",Meany,Garfield,Lowell,Meany,Garfield,2,1,1
6,Roosevelt,202,170.2117761,2010,10_year_frac_growth_kids,0.18505338078291814,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
7,South Lake Union,312,339.886927,2010,10_year_frac_growth_kids,0.29508196721311475,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
8,University District,401,751.9638778,2010,10_year_frac_growth_kids,-0.19141323792486584,"Green Lake, Laurelhurst","Eckstein, Hamilton Int'l",Roosevelt,Green Lake,Eckstein,Roosevelt,2,2,1
9,Crown Hill,103,270.9887543,2010,10_year_frac_growth_kids,0.15993788819875776,"Whittier, North Beach",Whitman,Ingraham,Whittier,Whitman,Ingraham,2,1,1
10,Westwood-Highland Park,127,275.0621961,2010,10_year_frac_growth_kids,0.0018331805682859762,"Roxhill, Highland Park",Denny Int'l,Chief Sealth Int'l,Roxhill,Denny Int'l,Chief Sealth Int'l,2,1,1
11,Lake City,201,142.2670425,2010,10_year_frac_growth_kids,0.2868020304568528,"Olympic Hills, John Rogers, Sacajawea",Jane Addams,Nathan Hale,Olympic Hills,Jane Addams,Nathan Hale,3,1,1
13,Madison-Miller,131,145.3234203,2010,10_year_frac_growth_kids,0.3473053892215569,"Stevens, Madrona",Meany,Garfield,Stevens,Meany,Garfield,2,1,1
14,Green Lake,207,107.4446385,2010,10_year_frac_growth_kids,0.7340425531914894,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
15,Northgate,301,412.2911233,2010,10_year_frac_growth_kids,0.20583941605839415,"Olympic View, Northgate, Viewlands","Jane Addams, Whitman","Ingraham, Nathan Hale",Olympic View,Jane Addams,Ingraham,3,2,2
16,North Beacon Hill,110,266.8762908,2010,10_year_frac_growth_kids,-0.1905241935483871,"Beacon Hill Intl, Kimball",Mercer Int'l,Franklin,Beacon Hill Intl,Mercer Int'l,Franklin,2,1,1
18,Greenwood-Phinney Ridge,102,94.15764497,2010,10_year_frac_growth_kids,0.05352112676056338,Greenwood,Robert Eagle Staff,"Ballard, Ingraham, Lincoln",Greenwood,Robert Eagle Staff,Ballard,1,1,3
19,Downtown,413,953.2817465,2010,10_year_frac_growth_kids,-0.02913907284768212,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
20,Uptown,412,333.000698,2010,10_year_frac_growth_kids,0.5102040816326531,John Hay,McClure,Lincoln,John Hay,McClure,Lincoln,1,1,1
21,Rainier Beach,204,346.1438736,2010,10_year_frac_growth_kids,-0.08885163453478626,"Dunlap, Emerson, Wing Luke, Van Asselt",Aki Kurose,Rainier Beach,Dunlap,Aki Kurose,Rainier Beach,4,1,1
22,23rd & Union-Jackson,109,625.2664128,2010,10_year_frac_growth_kids,-0.1378982406086543,"Bailey Gatzert, Leschi, T. Marshall",Washington,Garfield,Bailey Gatzert,Washington,Garfield,3,1,1
23,Bitter Lake Village,114,363.7795662,2010,10_year_frac_growth_kids,0.5075757575757576,"Broadview-Thomson, Northgate",Robert Eagle Staff,Ingraham Int'l,Broadview-Thomson,Robert Eagle Staff,Ingraham Int'l,2,1,1
24,Mt Baker,305,491.0180584,2010,10_year_frac_growth_kids,0.02952755905511811,"T. Marshall, John Muir, Beacon Hill Intl, Kimball, Leschi","Aki Kurose, Washington, Meany",Franklin,T. Marshall,Aki Kurose,Franklin,5,3,1
25,Admiral,113,98.24835065,2010,10_year_frac_growth_kids,0.24528301886792453,"Lafayette, Genesee Hill",Madison,West Seattle,Lafayette,Madison,West Seattle,2,1,1
26,Aurora-Licton Springs,101,326.9585992,2010,10_year_frac_growth_kids,0.08559782608695653,"Viewlands, Daniel Bagley",Robert Eagle Staff,Ingraham,Viewlands,Robert Eagle Staff,Ingraham,2,1,1
27,Morgan Junction,206,113.3093773,2010,10_year_frac_growth_kids,0.102880658436214,Gatewood,Denny Int'l,West Seattle,Gatewood,Denny Int'l,West Seattle,1,1,1
28,Eastlake,107,199.2559558,2010,10_year_frac_growth_kids,0.7413793103448276,"Montlake, Lowell",Meany,Garfield,Montlake,Meany,Garfield,2,1,1
29,Wallingford,203,258.0056129,2010,10_year_frac_growth_kids,0.469601677148847,"B. F. Day, Green Lake",Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,2,1,1
30,Ballard,303,495.4763052,2010,10_year_frac_growth_kids,0.08071748878923767,"Adams, West Woodland",Whitman,Ballard,Adams,Whitman,Ballard,2,1,1
31,South Park,128,263.7986201,2010,10_year_frac_growth_kids,0.0,Concord Intl,Denny Int'l,Chief Sealth Int'l,Concord Intl,Denny Int'l,Chief Sealth Int'l,1,1,1
32,Othello,123,498.9632413,2010,10_year_frac_growth_kids,0.321360153256705,"Dearborn Park, Van Asselt, Martin Luther King Jr., Wing Luke, Dunlap, Hawthorne","Aki Kurose, Mercer Int'l","Franklin, Rainier Beach",Dearborn Park,Aki Kurose,Franklin,6,2,2
1,Upper Queen Anne,106,52.65872029,2020,10_year_frac_growth_kids,0.47794117647058826,"John Hay, Coe",McClure,Lincoln,John Hay,McClure,Lincoln,2,1,1
2,Fremont,302,214.511083,2020,10_year_frac_growth_kids,0.5767441860465117,B. F. Day,Hamilton Int'l,Lincoln,B. F. Day,Hamilton Int'l,Lincoln,1,1,1
3,West Seattle Junction,205,270.4170255,2020,10_year_frac_growth_kids,0.545662100456621,"Genesee Hill, Fairmount Park, Pathfinder",Madison,West Seattle,Genesee Hill,Madison,West Seattle,3,1,1
4,Columbia City,111,334.5433404,2020,10_year_frac_growth_kids,0.5268595041322314,Hawthorne,Mercer,Franklin,Hawthorne,Mercer,Franklin,1,1,1
5,First Hill/Capitol Hill,414,916.2218015,2020,10_year_frac_growth_kids,0.060470324748040316,"Lowell, Madison-Miller",Meany,Garfield,Lowell,Meany,Garfield,2,1,1
6,Roosevelt,202,170.2117761,2020,10_year_frac_growth_kids,0.3963963963963964,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
7,South Lake Union,312,339.886927,2020,10_year_frac_growth_kids,2.4746835443037973,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
8,University District,401,751.9638778,2020,10_year_frac_growth_kids,1.0707964601769913,"Green Lake, Laurelhurst","Eckstein, Hamilton Int'l",Roosevelt,Green Lake,Eckstein,Roosevelt,2,2,1
9,Crown Hill,103,270.9887543,2020,10_year_frac_growth_kids,0.24096385542168675,"Whittier, North Beach",Whitman,Ingraham,Whittier,Whitman,Ingraham,2,1,1
10,Westwood-Highland Park,127,275.0621961,2020,10_year_frac_growth_kids,-0.13357731015553523,"Roxhill, Highland Park",Denny Int'l,Chief Sealth Int'l,Roxhill,Denny Int'l,Chief Sealth Int'l,2,1,1
11,Lake City,201,142.2670425,2020,10_year_frac_growth_kids,0.22682445759368836,"Olympic Hills, John Rogers, Sacajawea",Jane Addams,Nathan Hale,Olympic Hills,Jane Addams,Nathan Hale,3,1,1
13,Madison-Miller,131,145.3234203,2020,10_year_frac_growth_kids,0.07111111111111111,"Stevens, Madrona",Meany,Garfield,Stevens,Meany,Garfield,2,1,1
14,Green Lake,207,107.4446385,2020,10_year_frac_growth_kids,0.6257668711656442,Green Lake,Eckstein,Roosevelt,Green Lake,Eckstein,Roosevelt,1,1,1
15,Northgate,301,412.2911233,2020,10_year_frac_growth_kids,0.043583535108958835,"Olympic View, Northgate, Viewlands","Jane Addams, Whitman","Ingraham, Nathan Hale",Olympic View,Jane Addams,Ingraham,3,2,2
16,North Beacon Hill,110,266.8762908,2020,10_year_frac_growth_kids,0.06724782067247821,"Beacon Hill Intl, Kimball",Mercer Int'l,Franklin,Beacon Hill Intl,Mercer Int'l,Franklin,2,1,1
18,Greenwood-Phinney Ridge,102,94.15764497,2020,10_year_frac_growth_kids,0.0962566844919786,Greenwood,Robert Eagle Staff,"Ballard, Ingraham, Lincoln",Greenwood,Robert Eagle Staff,Ballard,1,1,3
19,Downtown,413,953.2817465,2020,10_year_frac_growth_kids,1.1923601637107777,Lowell,Meany,Garfield,Lowell,Meany,Garfield,1,1,1
20,Uptown,412,333.000698,2020,10_year_frac_growth_kids,1.6846846846846846,John Hay,McClure,Lincoln,John Hay,McClure,Lincoln,1,1,1
21,Rainier Beach,204,346.1438736,2020,10_year_frac_growth_kids,0.17755289788408463,"Dunlap, Emerson, Wing Luke, Van Asselt",Aki Kurose,Rainier Beach,Dunlap,Aki Kurose,Rainier Beach,4,1,1
